County,Area_name,Area_ID,Area_name_coord,Area_name_with_coord_or_not,Area_range,Area_plot_method,Ban,Ban_period,Publish_law,Transgress_law,Fishery_type,Conservation_type,Conservation_level
台南市,灣裡保護礁禁漁區,57,"A點22°55'00''N;120°07'24''E。
B點22°55'00''N;120°09'24''E。",Yes,500,AB線左右,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以A、B兩點所連成標示直線周圍500公尺以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,保護礁,多功能使用區
台南市,曾文溪口保護礁禁漁區,58,"A點23°01'00''N;120°02'12''E。
B點23°02'30''N;120°03'48''E。",Yes,500,AB線左右,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以A、B兩點所連成標示直線周圍500公尺以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,保護礁,多功能使用區
台南市,安平保護礁禁漁區,59,"A點22°57'36''N;120°05'48''E。
B點23°00'48''N;120°01'48''E。",Yes,500,AB線左右,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以A、B兩點所連成標示直線周圍500公尺以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,保護礁,多功能使用區
台南市,台南市所轄海域,60,台南市所轄海域,n/a,5556,n/a,自公告日起禁止?鱙漁業漁船進入本市3浬內海域作業,全年,"漁業法第44條
第4款","漁業法第65條
第1項第5款",?鱙,n/a,多功能使用區
台南市,台南市所轄海域,61,台南市3浬內海域,n/a,5556,n/a,"1.每年11月至翌年2月得以叉手網網具採補鰻苗。
2.自公告日起禁止叉手網漁業漁船進入本市3浬內海域作業。",3/1~10/31,"漁業法第44條
第4款","漁業法第65條
第1項第5款",其他網具（叉手網）,n/a,多功能使用區
台南市,台南市沿近海海域,62,台南市6浬內海域,n/a,11112,n/a,自公告日起禁止燈火漁業（焚寄網、棒受網及扒網）漁船進入本市6浬內海域作業,全年,"漁業法第44條
第4款","漁業法第65條
第1項第5款",燈火漁業,n/a,多功能使用區
台南市,"1.「二仁溪二層行橋至出海口」水域。
2.「鹽水溪太平橋至鹽水溪橋」水域。",63,禁止於「二仁溪二層行橋至出海口」及「鹽水溪太平橋至鹽水溪橋」使用流刺網及投網,n/a,n/a,n/a,「二仁溪二層行橋至出海口」及「鹽水溪太平橋至鹽水溪橋」水域禁止使用網具採捕魚類,全年,"漁業法第44條
第9款","漁業法第65條
第1項第5款",刺網（流刺網及投網）,n/a,多功能使用區
台南市,台南市所轄海域,64,台南市所轄海域,n/a,2778,n/a,"1.每年10月1日至翌年6月30日期間，禁止未滿5噸籠具漁船於本市距岸1.5浬內海域作業。
2.全年禁止5噸以上籠具漁船於本市距岸3浬內作業。","1.每年10月至翌年6月30日。
2.全年。","漁業法第54條
第5款","漁業法第65條
第8款",籠具,n/a,多功能使用區
宜蘭縣,竹安魚礁禁漁區,1,自頭城鎮竹安橋以南(24°50.6'N;121°49.6'E)至大隱海水抽水站以北(24°48.2'N;121°48.8'E)成一直線左右各100公尺範圍內之海域(距岸500公尺),Yes,100,AB線左右,凡使用網具類漁具之漁船均不得進入魚礁區內作業。,全年,漁業法第44條,n/a,所有網具,人工魚礁,多功能使用區
宜蘭縣,蘭陽保護礁區,2,自礁溪大塭海水抽水站以南(24°48.2'N;121°48.8'E)至北方澳(24°37'N;121°51.82'E)成一直線左右各100公尺範圍內之海域(距岸400-600公尺),Yes,100,AB線左右,凡使用網具類漁具之漁船均禁止進入礁區內作業。,全年,漁業法第44條,n/a,所有網具,保護礁,多功能使用區
宜蘭縣,蘇澳漁業資源保育區,3,n/a,n/a,200,低潮線向外海,蘇澳鎮港邊里澳仔角附近，自低潮線向外海延伸200公尺沿岸海域，海岸線長約2公里。保護對象：九孔、紫菜、龍蝦、石花菜及其他貝類。,全年,漁業法第44條,n/a,所有漁具漁法,特定生物(九孔、龍蝦、紫菜、石花菜及其他貝藻類),完全禁漁區
宜蘭縣,頭城漁業資源保育區,4,n/a,n/a,200,低潮線向外海,頭城鎮外澳里至石城里間，自低潮線向外海延伸200公尺沿岸海域，海岸線長約16公里。保護對象：九孔、紫菜、龍蝦、石花菜及其他貝類。,全年,漁業法第44條,n/a,所有漁具漁法,特定生物(九孔、龍蝦、紫菜、石花菜及其他貝藻類)；漁業資源保育區,完全禁漁區
宜蘭縣,宜蘭縣轄區自高潮線以深至12浬(包含龜山島)海域以內,5,n/a,n/a,22224,高潮線以深至12浬,除經政府核准領有珊瑚漁業執照漁船採捕深海珊瑚、桃紅色珊瑚、粉紅色珊瑚、白色珊瑚、黑色珊瑚或試驗研究目的外，不得以任何方式於禁漁區內採捕珊瑚、珊瑚礁。,全年,漁業法第44條第4、9款,漁業法第65條第5款,所有漁具漁法,珊瑚礁,多功能使用區
宜蘭縣,南澳人工魚礁禁漁區,6,24°25'30''N;121°47'36''E;以中心位置經緯度為中心，半徑0.5浬範圍以內水域均屬之。,Yes,926,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,所有網具,人工魚礁；保護礁,多功能使用區
宜蘭縣,漢本人工魚礁禁漁區,7,"24°21'36''N;121°46'36''E;
以中心位置經緯度為中心，半徑0.5浬範圍以內水域均屬之。",Yes,926,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,所有網具,人工魚礁,多功能使用區
宜蘭縣,大里人工魚礁禁漁區,8,24°57'06''N;121°54'48''E;以中心位置經緯度為中心，半徑0.5浬範圍以內水域均屬之。,Yes,926,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,所有網具,人工魚礁；保護礁,多功能使用區
宜蘭縣,東澳保護魚礁禁漁區,9,"A點24°30'16''N;121°51'39''E;
B點24°29'08''N;121°51'5''E;以A、B兩點所連成之標示直線周圍1000公尺以內之水域均屬之。",Yes,1000,AB線左右,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,所有網具,人工魚礁；保護礁,多功能使用區
